result_type,temperature_K,donor_cm3,complete_ionization_error_percent
NUMERICAL RESULT,40.0,1000000000000.0,52.69725748737106
NUMERICAL RESULT,50.285714285714285,1000000000000.0,3.6805939248140795
NUMERICAL RESULT,60.57142857142857,1000000000000.0,0.48128271625909047
NUMERICAL RESULT,70.85714285714286,1000000000000.0,0.10745089342036884
NUMERICAL RESULT,81.14285714285714,1000000000000.0,0.034055790929454766
NUMERICAL RESULT,91.42857142857143,1000000000000.0,0.013676596710188171
NUMERICAL RESULT,101.71428571428572,1000000000000.0,0.0064927931803904215
NUMERICAL RESULT,112.0,1000000000000.0,0.0034852949855279647
NUMERICAL RESULT,122.28571428571429,1000000000000.0,0.0020533194379668274
NUMERICAL RESULT,132.57142857142858,1000000000000.0,0.0013003822464829895
NUMERICAL RESULT,142.85714285714286,1000000000000.0,0.0008721862887028919
NUMERICAL RESULT,153.14285714285717,1000000000000.0,0.0006127671768885179
NUMERICAL RESULT,163.42857142857144,1000000000000.0,0.00044722270360342264
NUMERICAL RESULT,173.71428571428572,1000000000000.0,0.00033691354115461536
NUMERICAL RESULT,184.0,1000000000000.0,0.0002606806100313719
NUMERICAL RESULT,194.2857142857143,1000000000000.0,0.00020633171018413776
NUMERICAL RESULT,204.57142857142858,1000000000000.0,0.0001665326295752223
NUMERICAL RESULT,214.85714285714286,1000000000000.0,0.0001367019262232816
NUMERICAL RESULT,225.14285714285717,1000000000000.0,0.00011388258958078268
NUMERICAL RESULT,235.42857142857144,1000000000000.0,9.611030620249039e-05
NUMERICAL RESULT,245.71428571428572,1000000000000.0,8.204649430965105e-05
NUMERICAL RESULT,256.0,1000000000000.0,7.075796712996407e-05
NUMERICAL RESULT,266.28571428571433,1000000000000.0,6.158083798446512e-05
NUMERICAL RESULT,276.57142857142856,1000000000000.0,5.403397802528076e-05
NUMERICAL RESULT,286.8571428571429,1000000000000.0,4.77628120387763e-05
NUMERICAL RESULT,297.14285714285717,1000000000000.0,4.250168337271987e-05
NUMERICAL RESULT,307.42857142857144,1000000000000.0,3.8047227723936317e-05
NUMERICAL RESULT,317.7142857142857,1000000000000.0,3.4235966062112766e-05
NUMERICAL RESULT,328.0,1000000000000.0,3.091556430856457e-05
NUMERICAL RESULT,338.28571428571433,1000000000000.0,2.7889547715709284e-05
NUMERICAL RESULT,348.5714285714286,1000000000000.0,2.4823819333441577e-05
NUMERICAL RESULT,358.8571428571429,1000000000000.0,2.1289565088622453e-05
NUMERICAL RESULT,369.14285714285717,1000000000000.0,1.7388459117029242e-05
NUMERICAL RESULT,379.42857142857144,1000000000000.0,1.3991306868632591e-05
NUMERICAL RESULT,389.7142857142857,1000000000000.0,1.1561917956370849e-05
NUMERICAL RESULT,400.0,1000000000000.0,9.920564059129333e-06
NUMERICAL RESULT,40.0,1449740670372.6345,69.01960998727029
NUMERICAL RESULT,50.285714285714285,1449740670372.6345,5.256040555836705
NUMERICAL RESULT,60.57142857142857,1449740670372.6345,0.6962456642617187
NUMERICAL RESULT,70.85714285714286,1449740670372.6345,0.15570089304175472
NUMERICAL RESULT,81.14285714285714,1449740670372.6345,0.049364512651584036
NUMERICAL RESULT,91.42857142857143,1449740670372.6345,0.019826292531810452
